Seed,Latent_Dim_1,Latent_Dim_2,Latent_Dim_3,Latent_Dim_4,Latent_Dim_5,Latent_Dim_6,Latent_Dim_7,Latent_Dim_8,Latent_Dim_9,Latent_Dim_10,Latent_Dim_11,Latent_Dim_12,Latent_Dim_13,Latent_Dim_14,Latent_Dim_15,Latent_Dim_16,Latent_Dim_17,Latent_Dim_18,Latent_Dim_19,Latent_Dim_20,Latent_Dim_21,Latent_Dim_22,Latent_Dim_23,Latent_Dim_24,Latent_Dim_25,Latent_Dim_26,Latent_Dim_27,Latent_Dim_28,Latent_Dim_29,Latent_Dim_30,Latent_Dim_31,Latent_Dim_32,Latent_Dim_33,Latent_Dim_34,Latent_Dim_35,Latent_Dim_36,Latent_Dim_37,Latent_Dim_38,Latent_Dim_39,Latent_Dim_40,Latent_Dim_41,Latent_Dim_42,Latent_Dim_43,Latent_Dim_44,Latent_Dim_45,Latent_Dim_46,Latent_Dim_47,Latent_Dim_48,Latent_Dim_49,Latent_Dim_50
Seed 630,0.0025454137939959764,0.9582815170288086,0.9839553833007812,0.8230743408203125,0.00455965893343091,1.0235921144485474,0.5084927678108215,0.0028991219587624073,0.0018562901532277465,0.0028752561192959547,0.0019098614575341344,1.0210117101669312,0.9015327095985413,0.0017904250416904688,0.005175362341105938,0.8432123064994812,0.40916574001312256,0.7123333215713501,0.5930953025817871,0.002937445417046547,0.0020819581113755703,0.0016614214982837439,0.7091387510299683,0.002805838594213128,0.0023362396750599146,0.0035965689457952976,0.0033988014329224825,0.0033409404568374157,0.0019194150809198618,0.0014145501190796494,0.5422487854957581,0.7280565500259399,0.0021819614339619875,0.0028776947874575853,0.9938993453979492,0.0031128814443945885,0.0018893139204010367,0.9515827894210815,0.0028428456280380487,1.0107771158218384,0.8112859725952148,0.002018493600189686,0.002272396581247449,0.002423901343718171,0.0021992383990436792,0.0024348157458007336,0.0024426656309515238,0.9017761945724487,0.6161707043647766,0.003158085746690631
Seed 135,0.0025269296020269394,0.8210533261299133,0.002637687139213085,0.003004200989380479,0.5036396980285645,0.003926993813365698,0.002150941174477339,0.0019581078086048365,0.9786683320999146,0.8829177021980286,0.0023574235383421183,0.005483897868543863,0.9727053642272949,0.7680203914642334,0.9376609921455383,0.0015269696014001966,1.0095144510269165,0.0026515854988247156,0.0033553752582520247,0.4814620018005371,0.9478821158409119,0.002213982632383704,0.002605374902486801,0.002136169234290719,0.0022206364665180445,0.7196364998817444,0.002434534952044487,0.8894224762916565,0.0029980395920574665,0.0023657353594899178,0.0038196498062461615,0.49348583817481995,0.0035515266936272383,0.6225478649139404,0.004339689388871193,0.589165210723877,0.0023244479671120644,0.8639313578605652,0.001681809313595295,0.7595114707946777,0.002635511802509427,0.002540748566389084,0.00276012672111392,0.0023092017509043217,0.003920739982277155,0.0022771006915718317,0.7266708016395569,1.1175942420959473,1.0041207075119019,0.0029747560620307922
Seed 32,0.0037411029916256666,0.0036726167891174555,1.0089532136917114,0.9253143072128296,0.9443791508674622,0.002550344215705991,0.7367023825645447,0.0043000816367566586,0.5710113644599915,0.4894073009490967,1.0233677625656128,0.6627224087715149,0.003024337813258171,0.0030780965462327003,0.004416358191519976,0.9669553637504578,0.8284090161323547,0.0031196861527860165,0.002097796881571412,0.001967351185157895,0.0030294242314994335,0.9787244200706482,0.002603799570351839,0.004671931732445955,0.0037758529651910067,0.0030754816252738237,0.002794718835502863,0.6163180470466614,0.7536908984184265,1.0022574663162231,0.0025454522110521793,0.0023048713337630033,0.9160409569740295,0.7894242405891418,0.0029136070515960455,0.0036421846598386765,0.0027514833491295576,0.6239082217216492,0.002471357583999634,0.521399199962616,0.002716528717428446,0.8092135190963745,0.0015284427208825946,0.0017683091573417187,0.0029991993214935064,0.7960307598114014,0.0024775636848062277,0.003796529956161976,0.0037124597001820803,0.003952388651669025
Seed 10,0.0032624374143779278,0.004013425204902887,0.0023413586895912886,0.9664268493652344,0.8064141273498535,0.0016099107451736927,0.00309798214584589,0.004663190338760614,0.44649532437324524,0.003313626628369093,0.002739101881161332,0.8603782653808594,0.6074873208999634,0.7142950296401978,0.9723005294799805,0.6627873182296753,1.003726601600647,0.002230887534096837,0.005447932984679937,0.6283218860626221,0.9751455783843994,0.003744932357221842,0.0026898416690528393,0.003528257366269827,0.9411866664886475,0.002206264529377222,0.003264995524659753,0.9612030386924744,0.002871405566111207,0.005041477736085653,0.002722953213378787,0.004990851506590843,0.0017621946753934026,0.002729207742959261,0.0046714432537555695,0.41732409596443176,0.0019301666179671884,0.0021826012525707483,0.0036845856811851263,0.002136883558705449,0.6238416433334351,0.002661572303622961,1.0166513919830322,0.34630855917930603,0.9263089299201965,0.00304104620590806,0.0016679073451086879,0.8818114995956421,0.8033269643783569,0.8061361312866211
Seed 924,0.9327075481414795,0.003847756190225482,0.6336636543273926,0.0018241775687783957,0.001982886577025056,0.0021341864485293627,0.7640024423599243,0.0032301514875143766,0.5545343160629272,0.5280822515487671,0.003044147277250886,0.0031871325336396694,0.9439290761947632,0.002306437585502863,0.8841705322265625,0.0035219136625528336,0.0017768569523468614,0.002955009927973151,0.00521031254902482,0.004176573362201452,0.0023657442070543766,0.0033434282522648573,0.0032891281880438328,0.8547608256340027,0.002265675226226449,0.7971360087394714,0.002116250107064843,0.6731154322624207,0.9381974935531616,0.978044331073761,0.008423255756497383,1.0020866394042969,0.0026269846130162477,0.00205901637673378,1.0487746000289917,0.002872467739507556,0.002941606566309929,0.0025434368290007114,0.693641185760498,0.8180964589118958,0.507411777973175,0.003654823638498783,0.0023934149648994207,0.0027859152760356665,0.002385661704465747,0.0026461537927389145,0.8929330706596375,0.9672088623046875,0.0016429057577624917,0.23974041640758514
Mean,0.18895669281482697,0.3581736981868744,0.5263102650642395,0.5439288020133972,0.45219507813453674,0.20676271617412567,0.40288931131362915,0.003410130739212036,0.5105131268501282,0.38131922483444214,0.2066836655139923,0.510556697845459,0.6857357621192932,0.2978980839252472,0.5607447624206543,0.49560078978538513,0.650518536567688,0.14465810358524323,0.12184134870767593,0.2237730473279953,0.38610097765922546,0.19793763756752014,0.14406538009643555,0.173580601811409,0.1903569996356964,0.30513015389442444,0.0028018602170050144,0.6286799907684326,0.33993545174598694,0.3978247046470642,0.1119520291686058,0.4461849331855774,0.1852327287197113,0.2839276194572449,0.41091975569725037,0.20322337746620178,0.0023674038238823414,0.48882967233657837,0.14086434245109558,0.622384250164032,0.38957828283309937,0.16401782631874084,0.20512115955352783,0.07111917436122894,0.1875627487897873,0.16128596663475037,0.3252383768558502,0.7744375467300415,0.4857947826385498,0.21119233965873718
