Model,k,Initialization_Method,Measure,Mean,SE,n_seeds,Seeds_Used,Values_Aggregated
IWAE,5,KaimingNormal,Test_Activity,20.8,0.19999999999999998,5,"135, 630, 924, 10, 32","21.000000, 21.000000, 20.000000, 21.000000, 21.000000"
IWAE,5,KaimingNormal,Test_KL,22.90923957824707,0.061196285611251365,5,"135, 630, 924, 10, 32","22.991951, 22.797342, 22.822392, 22.823620, 23.110893"
IWAE,5,KaimingNormal,Test_NLL,69.66678466796876,0.07143789952896011,5,"135, 630, 924, 10, 32","69.575394, 69.757339, 69.838432, 69.725365, 69.437393"
IWAE,5,KaimingNormal,Test_NLL+KL,92.57602233886719,0.021473212701950663,5,"135, 630, 924, 10, 32","92.567345, 92.554680, 92.660820, 92.548981, 92.548286"
IWAE,5,KaimingNormal,Training_Activity,20.8,0.19999999999999998,5,"135, 630, 924, 10, 32","21.000000, 21.000000, 20.000000, 21.000000, 21.000000"
IWAE,5,KaimingNormal,Training_KL,22.996331024169923,0.03953690893866282,5,"135, 630, 924, 10, 32","23.059631, 22.946587, 22.884464, 22.984514, 23.106459"
IWAE,5,KaimingNormal,Training_NLL,69.69686126708984,0.06716396483917797,5,"135, 630, 924, 10, 32","69.642250, 69.813995, 69.895424, 69.568222, 69.564415"
IWAE,5,KaimingNormal,Training_NLL+KL,92.69319152832031,0.04022365214224591,5,"135, 630, 924, 10, 32","92.701881, 92.760582, 92.779884, 92.552734, 92.670876"
IWAE,5,KaimingUni,Test_Activity,20.8,0.3741657386773941,5,"135, 630, 924, 10, 32","21.000000, 22.000000, 20.000000, 21.000000, 20.000000"
IWAE,5,KaimingUni,Test_KL,22.87342987060547,0.05580532570323602,5,"135, 630, 924, 10, 32","22.885170, 23.053881, 22.702063, 22.863653, 22.862383"
IWAE,5,KaimingUni,Test_NLL,69.75964813232422,0.1363381747412305,5,"135, 630, 924, 10, 32","70.135147, 69.405975, 69.940834, 69.496521, 69.819763"
IWAE,5,KaimingUni,Test_NLL+KL,92.63307647705078,0.11334552579488133,5,"135, 630, 924, 10, 32","93.020317, 92.459854, 92.642899, 92.360168, 92.682144"
